codigo_pre,tipsum,codigo_med,fecha_carga,precio_adq,precio_ope,stk_,fv_,valid_tipsum,periodo
04317F01,S,10929,2021-10-01 02:32:12.187,0.580000,0.700000,357,2021-11-27 00:00:00.000,1,20210930
04317F01,S,10554,2021-10-01 02:32:09.563,0.680000,0.900000,0,2021-10-31 00:00:00.000,1,20210930
04317F01,S,08187,2021-10-01 02:31:38.233,0.000000,26.259500,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,06377,2021-10-01 02:31:15.230,0.000000,48.852100,2,2021-10-31 00:00:00.000,1,20210930
04317F01,S,06239,2021-10-01 02:31:09.057,0.081100,0.100000,377,2022-10-30 00:00:00.000,1,20210930
04317F01,S,05551,2021-10-01 02:39:42.363,0.170500,0.230000,617,2021-11-29 00:00:00.000,1,20210930
04317F01,S,05309,2021-10-01 02:39:29.443,0.876000,1.500000,25,2021-10-31 00:00:00.000,1,20210930
04317F01,S,05281,2021-10-01 02:39:28.410,1.007700,1.100000,53,2021-11-30 00:00:00.000,1,20210930
04317F01,S,05265,2021-10-01 02:39:28.003,0.000000,20.000000,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,05211,2021-10-01 02:39:25.897,0.612000,0.900000,392,2021-11-30 00:00:00.000,1,20210930
04317F01,S,05172,2021-10-01 02:39:24.910,0.000000,3.937500,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,05161,2021-10-01 02:39:23.613,0.000000,0.110000,0,2021-12-01 00:00:00.000,1,20210930
04317F01,S,05018,2021-10-01 02:39:07.473,0.780000,0.320000,847,2021-10-31 00:00:00.000,1,20210930
04317F01,S,04900,2021-10-01 02:39:03.020,2.930000,3.700000,88,2022-03-28 00:00:00.000,1,20210930
04317F01,S,04776,2021-10-01 02:38:52.003,0.760700,0.900000,0,2021-10-02 00:00:00.000,1,20210930
04317F01,S,04565,2021-10-01 02:38:37.113,4.691300,5.500000,0,2022-07-30 00:00:00.000,1,20210930
04317F01,S,04511,2021-10-01 02:38:34.330,1.458600,1.200000,24,2022-08-31 00:00:00.000,1,20210930
04317F01,S,04187,2021-10-01 02:38:15.457,1.945600,2.900000,149,2022-01-30 00:00:00.000,1,20210930
04317F01,S,04168,2021-10-01 02:38:04.517,0.000000,0.092700,10,2023-03-31 00:00:00.000,1,20210930
04317F01,S,04125,2021-10-01 02:38:02.690,90.000000,100.000000,0,2022-07-30 00:00:00.000,1,20210930
04317F01,S,03952,2021-10-01 02:37:47.497,1.650000,2.000000,153,2022-01-31 00:00:00.000,1,20210930
04317F01,S,03713,2021-10-01 02:37:13.270,0.027200,0.040000,0,2022-01-31 00:00:00.000,1,20210930
04317F01,S,03452,2021-10-01 02:36:50.690,13.000000,16.200000,26,2023-04-30 00:00:00.000,1,20210930
04317F01,S,03431,2021-10-01 02:36:36.847,16.880000,56.800000,0,2021-11-30 00:00:00.000,1,20210930
04317F01,S,03224,2021-10-01 02:36:32.893,0.090900,0.120000,1670,2022-08-31 00:00:00.000,1,20210930
04317F01,S,03223,2021-10-01 02:36:32.597,0.294100,0.360000,1249,2022-01-01 00:00:00.000,1,20210930
04317F01,S,03078,2021-10-01 02:36:13.717,0.029900,0.040000,1255,2022-11-30 00:00:00.000,1,20210930
